county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Västmanlands län,Köping,"Kungsör,Lindesberg,Skinnskatteberg,Arboga,Surahammar,Västerås,Hallstahammar",Malmö,1983,Storstäder,Köpings kommun
Skåne län,Örkelljunga,"Hässleholm,Laholm,Perstorp,Klippan,Ängelholm,Markaryd",Skövde,1257,Pendlingskommuner,Örkelljunga kommun
Östergötlands län,Vadstena,"Motala,Mjölby,Ödeshög",Lycksele,0584,Varuproducerande kommuner,Vadstena kommun
Västernorrlands län,Sundsvall,"Ånge,Nordanstig,Bräcke,Härnösand,Timrå,Sollefteå,Ragunda",Ludvika,2281,Varuproducerande kommuner,Sundsvalls kommun
Stockholms län,Vaxholm,"Lidingö,Österåker",Luleå,0187,Kommuner i glesbefolkad region,Vaxholms stad
Hallands län,Varberg,"Svenljunga,Falkenberg,Mark,Kungsbacka",Lycksele,1383,Kommuner i glesbefolkad region,Varbergs kommun
Gävleborgs län,Ljusdal,"Orsa,Rättvik,Härjedalen,Ånge,Ovanåker,Nordanstig,Hudiksvall,Bollnäs",Göteborg,2161,Pendlingskommuner,Ljusdals kommun
Västernorrlands län,Timrå,"Härnösand,Sundsvall,Sollefteå",Sundsvall,2262,Glesbygdkommuner,Timrå kommun
Örebro län,Ljusnarsberg,"Ludvika,Hällefors,Lindesberg,Smedjebacken",Göteborg,1864,Pendlingskommuner,Ljusnarsbergs kommun
Jämtlands län,Östersund,"Berg,Krokom,Bräcke,Strömsund,Ragunda",Karlstad,2380,Förortskommuner till större städer,Östersunds kommun
Jönköpings län,Habo,"Hjo,Tidaholm,Mullsjö,Jönköping",Växjö,0643,Varuproducerande kommuner,Habo kommun
Norrbottens län,Luleå,"Piteå,Boden,Älvsbyn,Kalix,Överkalix",Strömstad,2580,Turism- och besöksnäringskommuner,Luleå kommun
Södermanlands län,Eskilstuna,"Strängnäs,Kungsör,Flen,Katrineholm,Arboga",Östergötland,0484,Pendlingskommuner,Eskilstuna kommun
